# P7-3 effect/contrast retention (planted mode): retention error = |syn - real| / |real| per seed, aggregated by mean/median over seeds
# financial -> target=delta; vshape -> target=contrast (plant_xor also phi=xor interaction when present)
# series: chainnpm / privmrf(=privmrf+pertable, pertable preferred) / privpetal; denorm excluded; privpetal n=3 eps3.2 only; privbayes/pbpgm/lavaprop no planted data
dataset	mode	eps	t	series	target	n	real_mean	real_med	syn_mean	syn_med	ret_err_mean	ret_err_med
financial	plant_product	0.8	0.100	chainnpm	delta	10	0.089873	0.089788	-0.074899	-0.018949	2.142827	1.479204
financial	plant_product	0.8	0.100	privmrf	delta	10	0.089873	0.089788	-0.000111	-0.000182	1.001236	1.002018
financial	plant_product	0.8	0.200	chainnpm	delta	10	0.183550	0.183692	-0.073667	-0.020082	1.454369	1.109209
financial	plant_product	0.8	0.200	privmrf	delta	10	0.183550	0.183692	-0.000197	-0.000383	1.001062	1.002086
financial	plant_product	0.8	0.316	chainnpm	delta	10	0.324598	0.324555	-0.071726	-0.022155	1.221400	1.068359
financial	plant_product	0.8	0.316	privmrf	delta	10	0.324598	0.324555	-0.000128	-0.000154	1.000396	1.000474
financial	plant_product	0.8	0.400	chainnpm	delta	10	0.371449	0.371362	-0.071055	-0.023044	1.191395	1.062186
financial	plant_product	0.8	0.400	privmrf	delta	10	0.371449	0.371362	-0.000439	-0.000334	1.001181	1.000899
financial	plant_product	3.2	0.100	chainnpm	delta	10	0.089873	0.089788	-0.009011	0.003535	1.101191	0.960623
financial	plant_product	3.2	0.100	privmrf	delta	10	0.089873	0.089788	0.000020	-0.000114	0.999748	1.001260
financial	plant_product	3.2	0.200	chainnpm	delta	10	0.183550	0.183692	-0.008726	0.002565	1.047427	0.986007
financial	plant_product	3.2	0.200	privmrf	delta	10	0.183550	0.183692	-0.000544	-0.000423	1.002971	1.002307
financial	plant_product	3.2	0.316	chainnpm	delta	10	0.324598	0.324555	-0.008382	0.002974	1.026026	0.990859
financial	plant_product	3.2	0.316	privmrf	delta	10	0.324598	0.324555	-0.000138	-0.000153	1.000426	1.000473
financial	plant_product	3.2	0.316	privpetal	delta	3	0.325560	0.325560	0.001712	0.001098	0.994742	0.996627
financial	plant_product	3.2	0.400	chainnpm	delta	10	0.371449	0.371362	-0.007919	0.002908	1.021399	0.992166
financial	plant_product	3.2	0.400	privmrf	delta	10	0.371449	0.371362	-0.000269	-0.000152	1.000723	1.000409
financial	plant_xor	0.8	0.800	chainnpm	delta	10	0.051533	0.051557	-0.071374	-0.017158	3.044934	1.980351
financial	plant_xor	0.8	0.800	privmrf	delta	10	0.051533	0.051557	0.000247	0.000086	0.995253	0.998337
financial	plant_xor	3.2	0.800	chainnpm	delta	10	0.051533	0.051557	-0.012906	0.003862	1.244394	0.924635
financial	plant_xor	3.2	0.800	privmrf	delta	10	0.051533	0.051557	-0.000049	0.000151	1.000991	0.997077
financial	plant_xor	3.2	0.800	privpetal	delta	3	0.051569	0.051569	-0.004517	-0.004524	1.087592	1.087718
imdb	plant_product	0.8	0.100	chainnpm	contrast	10	0.121080	0.121080	0.045435	0.045111	0.624750	0.627429
imdb	plant_product	0.8	0.100	privmrf	contrast	10	0.121080	0.121080	0.000082	-0.000153	0.999320	1.001260
imdb	plant_product	0.8	0.200	chainnpm	contrast	10	0.121080	0.121080	0.135504	0.141099	0.120023	0.165337
imdb	plant_product	0.8	0.200	privmrf	contrast	10	0.121080	0.121080	0.000082	-0.000153	0.999320	1.001260
imdb	plant_product	0.8	0.316	chainnpm	contrast	10	0.121080	0.121080	0.135504	0.141099	0.120023	0.165337
imdb	plant_product	0.8	0.316	privmrf	contrast	10	0.121080	0.121080	0.000082	-0.000153	0.999320	1.001260
imdb	plant_product	0.8	0.400	chainnpm	contrast	10	0.121080	0.121080	0.135504	0.141099	0.120023	0.165337
imdb	plant_product	0.8	0.400	privmrf	contrast	10	0.121080	0.121080	0.000082	-0.000153	0.999320	1.001260
imdb	plant_product	3.2	0.100	chainnpm	contrast	10	0.121080	0.121080	0.045227	0.045303	0.626468	0.625842
imdb	plant_product	3.2	0.100	privmrf	contrast	10	0.121080	0.121080	-0.000340	-0.000267	1.002812	1.002206
imdb	plant_product	3.2	0.200	chainnpm	contrast	10	0.121080	0.121080	0.134576	0.139143	0.111676	0.149186
imdb	plant_product	3.2	0.200	privmrf	contrast	10	0.121080	0.121080	-0.000340	-0.000267	1.002812	1.002206
imdb	plant_product	3.2	0.316	chainnpm	contrast	10	0.121080	0.121080	0.134576	0.139143	0.111676	0.149186
imdb	plant_product	3.2	0.316	privmrf	contrast	10	0.121080	0.121080	-0.000340	-0.000267	1.002812	1.002206
imdb	plant_product	3.2	0.316	privpetal	contrast	3	0.121080	0.121080	0.114115	0.112034	0.095241	0.074710
imdb	plant_product	3.2	0.400	chainnpm	contrast	10	0.121080	0.121080	0.134576	0.139143	0.111676	0.149186
imdb	plant_product	3.2	0.400	privmrf	contrast	10	0.121080	0.121080	-0.000340	-0.000267	1.002812	1.002206
imdb	plant_xor	0.8	0.800	chainnpm	contrast	10	0.121080	0.121080	0.148873	0.148516	0.229546	0.226594
imdb	plant_xor	0.8	0.800	chainnpm	phi	10	0.557467	0.557466	0.525070	0.524981	0.058113	0.058271
imdb	plant_xor	0.8	0.800	privmrf	contrast	10	0.121080	0.121080	0.000082	-0.000153	0.999320	1.001260
imdb	plant_xor	0.8	0.800	privmrf	phi	10	0.557467	0.557466	0.486117	0.486138	0.127990	0.127952
imdb	plant_xor	3.2	0.800	chainnpm	contrast	10	0.121080	0.121080	0.146520	0.146607	0.210114	0.210827
imdb	plant_xor	3.2	0.800	chainnpm	phi	10	0.557467	0.557466	0.524397	0.524269	0.059322	0.059551
imdb	plant_xor	3.2	0.800	privmrf	contrast	10	0.121080	0.121080	-0.000340	-0.000267	1.002812	1.002206
imdb	plant_xor	3.2	0.800	privmrf	phi	10	0.557467	0.557466	0.485923	0.485917	0.128337	0.128349
imdb	plant_xor	3.2	0.800	privpetal	contrast	3	0.121080	0.121080	0.082835	0.081935	0.315866	0.323296
imdb	plant_xor	3.2	0.800	privpetal	phi	3	0.557469	0.557469	0.508930	0.508877	0.087070	0.087165
instacart	plant_product	0.8	0.100	chainnpm	contrast	10	0.098066	0.098162	0.104165	0.109982	0.202515	0.191892
instacart	plant_product	0.8	0.100	privmrf	contrast	10	0.098066	0.098162	-0.000173	0.000048	1.001744	0.999463
instacart	plant_product	0.8	0.200	chainnpm	contrast	10	0.187385	0.186821	0.195092	0.196434	0.103223	0.091021
instacart	plant_product	0.8	0.200	privmrf	contrast	10	0.187385	0.186821	-0.000173	0.000048	1.000910	0.999735
instacart	plant_product	0.8	0.316	chainnpm	contrast	10	0.298361	0.297006	0.307813	0.312765	0.065760	0.058104
instacart	plant_product	0.8	0.316	privmrf	contrast	10	0.298361	0.297006	-0.000173	0.000048	1.000579	0.999831
instacart	plant_product	0.8	0.400	chainnpm	contrast	10	0.398444	0.395000	0.409573	0.414602	0.050347	0.042002
instacart	plant_product	0.8	0.400	privmrf	contrast	10	0.398444	0.395000	-0.000173	0.000048	1.000445	0.999883
instacart	plant_product	3.2	0.100	chainnpm	contrast	10	0.098066	0.098162	0.094242	0.094647	0.062992	0.055202
instacart	plant_product	3.2	0.100	privmrf	contrast	10	0.098066	0.098162	0.001418	0.001197	0.985421	0.988001
instacart	plant_product	3.2	0.200	chainnpm	contrast	10	0.187385	0.186821	0.185063	0.182337	0.027109	0.021612
instacart	plant_product	3.2	0.200	privmrf	contrast	10	0.187385	0.186821	0.001418	0.001197	0.992400	0.993525
