# P7-1 summary: natural mode, 2-hop RE = re_median_large[financial=2hop_topbot | imdb=cross_r1r2 | instacart=cross_r1r2 | movielens=cross_r1r2] (large queries, prereg query_seed=123, 150 queries/class, large_count=50)
# bootstrap: 1000 resamples of per-seed means, RNG seed 42; series labels follow final figures (denorm excluded; PrivMRF = privmrf+pertable, pertable preferred)
dataset	series	eps	n	mean	median	std	boot_lo	boot_hi
financial	chainnpm	0.1	10	4.191144	3.881116	2.567239	2.796252	5.859672
financial	chainnpm	0.2	10	2.905660	2.438363	1.862755	1.883281	4.186369
financial	chainnpm	0.4	10	1.770722	1.682514	0.989354	1.259174	2.414956
financial	chainnpm	0.8	10	1.162510	0.905104	0.619929	0.860930	1.551880
financial	chainnpm	1.6	10	0.700962	0.689924	0.244767	0.563385	0.847339
financial	chainnpm	3.2	10	0.462003	0.435439	0.137166	0.395582	0.550305
financial	privpetal	0.1	10	0.287253	0.292124	0.019894	0.275149	0.298427
financial	privpetal	0.2	10	0.495522	0.508325	0.065606	0.453363	0.529874
financial	privpetal	0.4	10	0.723903	0.731658	0.042108	0.699813	0.746347
financial	privpetal	0.8	10	0.846100	0.842089	0.037439	0.824835	0.868552
financial	privpetal	1.6	10	0.916961	0.916581	0.018474	0.906264	0.927852
financial	privpetal	3.2	10	0.940393	0.942988	0.006759	0.936389	0.944259
financial	lavaprop	0.1	10	0.360004	0.340210	0.041851	0.335144	0.385425
financial	lavaprop	0.2	10	0.394100	0.379835	0.042485	0.370640	0.420913
financial	lavaprop	0.4	10	0.355856	0.342865	0.065437	0.321212	0.393300
financial	lavaprop	0.8	10	0.370631	0.368581	0.032837	0.351566	0.390449
financial	lavaprop	1.6	10	0.344689	0.330353	0.052383	0.314661	0.377007
financial	lavaprop	3.2	10	0.342065	0.342956	0.033213	0.322865	0.361584
financial	privmrf	0.1	10	0.310209	0.287545	0.167287	0.222495	0.414314
financial	privmrf	0.2	10	0.218614	0.218321	0.089999	0.166166	0.273905
financial	privmrf	0.4	10	0.207153	0.169765	0.132640	0.137002	0.288413
financial	privmrf	0.8	10	0.132496	0.096882	0.073238	0.092922	0.175403
financial	privmrf	1.6	10	0.153594	0.135691	0.062606	0.117739	0.189342
financial	privmrf	3.2	10	0.159538	0.155525	0.070755	0.121958	0.201362
financial	privbayes	0.1	10	0.607538	0.517954	0.264073	0.466046	0.747445
financial	privbayes	0.2	10	0.614698	0.496037	0.304816	0.439962	0.791415
financial	privbayes	0.4	10	0.534915	0.401705	0.332984	0.355709	0.750355
financial	privbayes	0.8	10	0.143228	0.138271	0.063972	0.107982	0.182273
financial	privbayes	1.6	10	0.175277	0.173387	0.056708	0.144565	0.209524
financial	privbayes	3.2	10	0.121339	0.118603	0.049243	0.095777	0.151726
financial	pbpgm	0.1	10	0.902131	1.000000	0.261382	0.735782	1.000000
financial	pbpgm	0.2	10	0.758949	0.850964	0.272180	0.603551	0.912733
financial	pbpgm	0.4	10	0.663571	0.690692	0.238872	0.520865	0.805649
financial	pbpgm	0.8	10	0.297631	0.280242	0.116106	0.234947	0.370280
financial	pbpgm	1.6	10	0.261134	0.266725	0.109606	0.201324	0.329612
financial	pbpgm	3.2	10	0.162112	0.136707	0.088502	0.115854	0.211377
imdb	chainnpm	0.1	10	0.229417	0.230410	0.010135	0.223119	0.234954
imdb	chainnpm	0.2	10	0.198310	0.197171	0.008746	0.192943	0.203705
imdb	chainnpm	0.4	10	0.176627	0.177602	0.006395	0.172700	0.180587
imdb	chainnpm	0.8	10	0.161190	0.160696	0.005376	0.158017	0.164508
imdb	chainnpm	1.6	10	0.152952	0.151434	0.005572	0.150141	0.156550
imdb	chainnpm	3.2	10	0.149943	0.148925	0.005264	0.147238	0.153317
imdb	privpetal	0.1	10	0.604718	0.641043	0.074326	0.558874	0.642820
imdb	privpetal	0.2	10	0.304497	0.306378	0.031566	0.286212	0.322611
imdb	privpetal	0.4	10	0.319725	0.312687	0.031223	0.302620	0.339147
